"","age","ed","union","employ","income","debtinc","creddebt","lncreddebt","othdebt","lnothdebt","default","jobsat","marital","spoused","spousedcat","reside","pets","pets_cats","pets_dogs","pets_birds","pets_reptiles","pets_small","pets_saltfish","pets_freshfish","homeown","cars","carown","carbuy","commute","commutetime","commutecar","commutemotorcycle","commutecarpool","commutebus","commuterail","commutepublic","commutebike","commutewalk","commutenonmotor","telecommute","reason","polview","polparty","polcontrib","vote","card","cardtype","cardbenefit","cardfee","cardtenure","card2fee","card2tenure","carditems","card2items","card2spent","active","tenure","churn","longmon","lnlongmon","longten","tollfree","tollmon","lntollmon","tollten","lntollten","equip","equipmon","equipten","callcard","cardmon","lncardmon","cardten","lncardten","wireless","wiremon","lnwiremon","wireten","lnwireten","multline","voice","pager","callid","callwait","forward","confer","ebill","owntv","hourstv","ownvcr","owndvd","owncd","ownpda","ownpc","ownipod","owngame","ownfax","news","response_01","response_02","response_03","townsize","gender","birthmonth","jobcat","retire","hometype","addresscat","cartype","carvalue","carbought","card2","card2type","card2benefit","bfast","internet","Customer_cat"
"80",21,16,0,0,30,13.5,1.23,0.2,2.82,1.04,1,1,1,13,2,4,0,0,0,0,0,0,0,0,1,2,1,0,4,31,1,0,0,1,0,0,1,1,0,0,9,4,0,0,1,4,1,4,0,4,0,2,17,7,211.87,1,10,0,4.7,1.55,52.35,0,0,2.37,0,4.38,1,24.7,190.85,0,0,2.17,0,4.17,0,0,2.82,0,4.78,0,0,0,0,0,0,0,1,1,20,0,1,1,0,1,1,1,0,0,0,0,0,"5","1","May","5","0","3","1","1","9.9","1","2","4","4","3","2","medium_spend_cust"
"99",65,15,0,6,26,11.1,0.71,-0.35,2.18,0.78,0,5,0,-1,-1,1,7,0,0,0,0,0,0,7,1,1,1,0,10,26,0,0,0,0,0,0,0,1,0,1,2,2,1,0,0,2,2,3,1,37,0,27,11,3,108.27,1,70,1,68.1,4.22,4632,0,0,2.44,0,6.52,1,35.8,2430.95,1,31.75,3.46,2110,7.65,0,0,3.03,0,7.18,1,0,0,0,0,0,0,0,1,12,1,1,1,1,1,1,1,0,1,0,0,0,"4","0","October","2","1","1","5","0","15.2","0","1","2","3","3","1","medium_spend_cust"
"100",66,16,0,3,21,21.2,1.71,0.54,2.74,1.01,1,2,0,-1,-1,1,0,0,0,0,0,0,0,0,1,0,-1,1,8,25,0,0,1,1,0,0,1,1,0,0,9,6,0,0,0,5,4,3,0,28,0,23,11,6,140.95,1,62,0,10.2,2.32,625.05,0,0,2.55,0,6.72,0,0,0,1,24,3.18,1485,7.3,0,0,3.18,0,7.24,1,0,0,1,1,0,0,0,1,27,1,1,1,1,0,0,1,0,1,0,0,0,"5","1","May","2","0","1","3","-1","-1","-1","3","1","4","1","0","medium_spend_cust"
"102",44,13,1,13,60,12.5,2.21,0.79,5.29,1.67,0,4,1,17,4,2,3,0,0,0,3,0,0,0,1,2,1,1,1,12,1,0,0,0,0,0,0,0,0,0,2,6,1,0,1,3,1,3,1,26,0,27,11,9,335.11,1,70,0,32.3,3.48,2239.45,0,0,2.42,0,6.77,0,0,0,1,14.5,2.67,1045,6.95,0,0,2.88,0,7.22,1,0,0,0,1,1,0,0,1,20,1,1,1,0,0,1,0,0,1,0,0,0,"1","1","November","5","0","3","3","0","35.5","1","4","2","3","1","0","medium_spend_cust"
"118",44,17,0,13,58,7.5,0.9,-0.1,3.45,1.24,0,2,0,-1,-1,1,0,0,0,0,0,0,0,0,0,3,1,0,1,29,1,0,0,1,1,1,0,0,0,0,9,4,0,1,0,2,4,4,0,7,0,6,12,1,25.6,1,18,0,5.9,1.77,110.5,0,0,2.4,0,5.88,1,26.65,464.05,0,0,1.87,0,5.27,0,0,2.54,0,6.13,1,0,0,0,0,0,0,0,1,20,1,1,1,0,1,1,1,0,1,0,0,0,"5","0","January","6","0","2","2","1","32.5","1","3","3","4","1","2","medium_spend_cust"
"124",44,19,0,1,59,5.9,0.98,-0.02,2.5,0.92,0,1,0,-1,-1,1,6,2,0,0,0,0,0,4,1,0,-1,0,5,26,0,1,0,1,1,0,0,1,0,0,9,3,0,1,0,3,1,2,0,21,0,14,7,2,41.38,0,48,1,8.45,2.13,423.9,0,0,2.66,0,6.44,0,0,0,1,12.75,2.55,555,6.32,0,0,2.7,0,6.38,1,0,0,0,0,0,0,0,1,24,1,1,1,0,1,0,1,0,1,0,0,0,"3","1","July","2","0","1","4","-1","-1","-1","4","3","3","1","1","low_spend_cust"
"128",29,16,0,4,54,9.6,1.2,0.18,3.98,1.38,0,2,1,13,2,4,5,0,0,0,0,0,0,5,1,1,1,1,4,16,0,0,0,1,0,0,0,1,0,0,9,4,1,1,0,4,1,1,0,11,0,5,7,2,153.72,1,31,0,11.5,2.44,386.15,0,0,2.48,0,5.74,1,31.9,921,0,0,1.66,0,4.87,1,18.15,2.9,579.95,6.36,1,0,0,0,0,0,0,1,1,13,1,1,1,0,1,0,0,0,1,0,0,0,"1","0","October","3","0","4","2","0","22.8","0","1","1","4","1","3","medium_spend_cust"
"130",18,13,0,0,15,10.9,0.52,-0.66,1.12,0.11,1,4,0,-1,-1,1,0,0,0,0,0,0,0,0,0,3,0,0,1,30,1,0,0,0,0,0,0,0,0,0,9,6,0,1,1,2,4,2,0,1,0,1,7,4,61.34,1,2,1,4.05,1.4,7.2,0,0,2.35,0,2.79,0,0,0,0,0,1.56,0,2.05,0,0,2.72,0,3.04,0,0,0,0,0,0,0,0,1,24,0,1,0,0,0,1,1,0,0,0,0,0,"3","0","October","3","0","2","1","0","6.1","0","3","2","2","1","0","low_spend_cust"
"131",28,16,0,0,17,2.2,0.13,-2.04,0.24,-1.41,0,4,0,-1,-1,2,0,0,0,0,0,0,0,0,0,1,0,1,3,27,0,0,1,0,0,0,0,1,0,0,4,1,1,1,1,3,2,4,0,10,0,6,7,3,60.34,0,17,0,6.95,1.94,121.9,0,0,2.48,0,5.32,0,0,0,1,15.75,2.76,215,5.37,0,0,2.68,0,5.42,1,0,0,1,0,1,0,0,1,12,1,1,1,0,0,0,1,0,0,0,0,0,"2","0","July","1","0","2","2","1","7.9","0","1","3","1","3","0","low_spend_cust"
"133",43,14,0,6,57,14.3,4.44,1.49,3.71,1.31,1,2,0,-1,-1,1,0,0,0,0,0,0,0,0,0,3,1,1,1,18,1,0,0,0,0,0,0,1,0,0,2,6,0,1,1,3,3,1,0,12,0,8,9,6,485.78,0,27,0,4.6,1.53,102.3,1,22,3.09,575.9,6.36,1,26.5,690.4,0,0,1.66,0,5.08,0,0,2.82,0,6.17,0,0,0,0,1,1,1,1,1,18,1,1,1,1,0,0,1,0,0,0,0,0,"2","0","November","3","0","2","3","1","25.6","0","1","2","3","1","0","medium_spend_cust"
"134",56,12,1,4,29,7.2,0.78,-0.25,1.31,0.27,0,4,0,-1,-1,3,2,1,1,0,0,0,0,0,1,1,1,0,4,25,0,0,0,1,0,0,0,0,0,0,9,4,0,0,1,2,2,2,0,5,1,4,8,8,245.92,1,14,0,5.95,1.78,86.25,1,17,2.83,227.5,5.43,0,0,0,1,10.5,2.35,115,4.74,0,0,2.54,0,4.78,0,0,0,0,1,1,0,0,1,16,1,1,1,0,0,0,1,0,0,0,0,0,"3","0","June","2","0","1","3","1","11.6","0","5","1","4","3","0","medium_spend_cust"
"142",19,14,0,0,13,12.4,0.36,-1.03,1.25,0.23,0,2,0,-1,-1,2,7,0,0,0,0,0,0,7,0,2,1,0,1,21,1,1,0,0,0,0,0,0,0,0,9,1,1,1,1,2,4,1,0,1,0,1,10,3,84.43,1,2,0,2.3,0.83,7.05,1,12.75,2.55,26.5,3.28,0,0,0,1,43.5,3.77,35,3.56,0,0,2.54,0,2.82,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,"1","1","August","6","0","1","1","0","8.4","1","3","4","4","3","0","low_spend_cust"
"145",31,11,0,6,27,0.6,0.07,-2.66,0.09,-2.39,0,4,1,13,2,2,7,0,0,2,0,0,0,5,0,2,0,0,1,18,1,0,1,1,1,0,0,1,0,0,9,6,1,1,1,2,2,2,0,13,0,13,12,7,240.72,1,63,0,25.05,3.22,1667.05,0,0,2.28,0,6.38,0,0,0,1,18.5,2.92,1090,6.99,0,0,3.05,0,7.18,0,0,0,1,1,0,1,0,1,29,1,1,1,0,1,0,0,0,1,0,0,0,"3","1","January","4","0","2","3","0","12.4","0","3","1","3","3","0","medium_spend_cust"
"150",64,16,0,22,98,13.1,5.3,1.67,7.54,2.02,0,1,1,13,2,2,0,0,0,0,0,0,0,0,1,3,1,1,1,26,1,0,1,0,1,0,0,1,0,1,9,5,0,0,1,4,3,4,0,25,0,21,9,9,401.96,0,60,0,18.2,2.9,1079.1,0,0,2.33,0,6.53,1,32.95,1973.1,1,13.75,2.62,835,6.73,0,0,2.9,0,7.15,1,0,0,1,1,0,0,1,1,24,1,1,1,0,1,1,1,0,0,0,0,0,"4","1","September","4","0","1","5","1","47.2","0","3","2","1","3","1","medium_spend_cust"
"151",46,18,0,2,28,20.7,1.1,0.1,4.69,1.55,1,1,0,-1,-1,3,10,2,1,0,0,0,0,7,1,1,0,1,5,22,0,0,0,1,1,0,0,1,0,0,9,3,0,1,1,4,1,1,0,27,0,18,8,2,45.66,1,50,0,9.15,2.21,464.7,0,0,2.69,0,6.56,1,35.2,1814.65,1,14.25,2.66,610,6.41,1,25.25,3.23,1199.2,7.09,0,0,0,0,0,1,1,1,1,28,1,1,1,0,1,1,1,0,0,0,0,0,"5","1","July","2","0","1","3","0","13.7","0","2","1","3","1","4","low_spend_cust"
"160",63,15,0,9,17,6.4,0.34,-1.07,0.74,-0.3,0,5,1,11,1,2,9,0,0,0,0,0,0,9,1,3,1,0,1,22,1,0,0,1,0,0,1,0,0,0,9,3,0,0,0,2,3,3,0,17,0,12,1,0,0,0,36,0,12.3,2.51,435.15,1,23,3.14,822.55,6.71,0,0,0,1,19.5,2.97,700,6.55,0,0,2.54,0,6.24,1,0,0,0,0,0,0,0,1,13,0,1,1,0,1,0,0,0,1,0,1,0,"1","1","April","2","1","3","3","1","7.1","1","4","4","2","2","3","low_spend_cust"
"170",58,14,0,10,58,11.4,1.81,0.59,4.8,1.57,0,3,1,13,2,2,1,0,0,0,0,1,0,0,1,3,1,0,1,31,1,0,0,1,0,0,0,0,0,0,3,4,0,0,0,3,3,4,1,29,0,20,13,11,320.42,0,59,0,6.85,1.92,415.45,0,0,2.66,0,6.71,0,0,0,1,6.75,1.91,400,5.99,0,0,2.7,0,6.79,0,0,0,0,0,0,0,0,1,24,1,1,1,0,0,0,0,0,1,0,0,0,"5","1","January","2","0","3","5","0","24.3","0","1","3","3","2","0","medium_spend_cust"
"176",79,7,0,45,20,19.2,1.41,0.34,2.43,0.89,0,3,0,-1,-1,1,2,0,0,0,2,0,0,0,1,1,0,0,4,22,0,0,0,1,0,0,0,0,0,0,9,3,0,0,1,2,1,4,1,39,0,30,9,4,62.37,0,72,0,18.25,2.9,1307.2,1,18,2.89,1345.8,7.2,0,0,0,1,27.75,3.32,1810,7.5,0,0,3.11,0,7.38,1,0,0,1,0,1,1,0,1,10,1,1,1,0,0,0,0,0,1,1,0,0,"1","1","December","4","1","1","5","1","10","0","5","1","2","2","0","low_spend_cust"
"177",68,13,0,18,74,7.2,0.34,-1.08,4.99,1.61,0,5,1,10,1,2,1,1,0,0,0,0,0,0,0,1,1,1,4,29,0,0,0,1,0,0,0,0,1,0,9,6,1,0,0,1,1,2,0,32,0,25,11,3,136.68,0,68,0,11.95,2.48,802.8,1,22.25,3.1,1427.2,7.26,0,0,0,1,55.25,4.01,3760,8.23,0,0,2.88,0,7.19,1,0,0,0,1,1,1,0,1,20,1,1,1,0,0,1,0,0,0,0,0,0,"5","1","September","1","0","2","5","0","40.4","0","2","2","1","3","0","medium_spend_cust"
"191",19,14,0,0,23,2.1,0.08,-2.49,0.4,-0.92,0,2,1,15,3,5,0,0,0,0,0,0,0,0,1,5,1,1,1,42,1,0,1,0,1,0,0,0,0,0,2,6,1,0,0,2,3,4,0,1,0,1,11,1,14.47,1,18,0,16.05,2.78,288,1,38.75,3.66,662,6.5,0,0,0,1,29.75,3.39,490,6.19,0,0,2.68,0,5.5,0,0,0,1,1,1,1,0,1,16,1,1,1,0,0,0,0,0,1,0,0,1,"4","0","June","2","0","1","1","0","14","0","4","3","1","1","0","medium_spend_cust"
"198",52,18,1,5,96,29.3,6.55,1.88,21.57,3.07,1,4,0,-1,-1,1,0,0,0,0,0,0,0,0,1,3,1,1,1,26,1,0,0,1,0,0,0,0,0,0,9,5,0,0,1,4,1,3,0,23,1,15,11,0,0,0,49,0,8.6,2.15,387.8,1,21,3.04,1095.4,7,1,39.15,1930.1,1,14.25,2.66,665,6.5,1,46,3.83,2182.1,7.69,1,1,1,1,1,1,1,0,1,21,1,1,1,0,1,1,1,1,1,0,0,0,"5","1","October","1","0","1","5","1","47","0","3","3","3","2","2","low_spend_cust"
"207",67,19,0,7,152,8.4,7.58,2.03,5.18,1.65,1,5,0,-1,-1,1,0,0,0,0,0,0,0,0,0,1,1,0,2,23,0,1,0,0,0,0,0,0,0,0,9,3,1,0,1,1,1,4,1,22,0,14,15,4,525.09,0,42,0,11,2.4,427.7,0,0,2.08,0,5.97,1,24.25,1010,0,0,2.05,0,6.1,0,0,2.68,0,6.53,1,0,0,0,0,0,0,1,1,24,1,1,1,0,1,1,0,0,0,0,0,0,"1","1","July","2","0","2","5","0","58.6","0","4","3","1","2","3","high_spend_cust"
"210",66,22,0,2,22,17.8,1.05,0.04,2.87,1.05,0,1,1,19,4,2,12,3,0,0,0,0,0,9,1,1,0,0,4,14,0,0,0,1,0,0,0,1,0,0,9,3,1,1,1,1,4,1,0,9,0,8,10,2,45.55,0,21,0,7.85,2.06,149.1,0,0,2.35,0,5.36,1,34.55,655.2,0,0,1.45,0,3.81,0,0,2.82,0,5.35,1,0,0,0,0,0,0,1,1,21,1,1,1,0,1,1,1,0,0,0,0,0,"2","1","December","2","1","1","4","0","6.9","0","4","1","3","2","4","medium_spend_cust"
"218",68,13,0,7,15,3.5,0.07,-2.71,0.46,-0.78,0,3,1,10,1,2,0,0,0,0,0,0,0,0,1,1,0,1,1,32,1,0,0,0,0,0,0,1,0,0,9,4,0,1,0,4,2,1,1,40,1,30,10,5,140.72,0,72,0,72.45,4.28,5246.3,1,25.5,3.24,1808.65,7.5,0,0,0,1,15.25,2.72,1085,6.99,0,0,2.89,0,7.23,1,0,0,0,0,0,0,0,1,18,1,1,1,0,0,0,0,0,1,0,0,0,"1","0","September","2","1","1","5","1","4.2","0","1","4","1","2","0","medium_spend_cust"
"221",36,21,0,2,48,13.4,0.74,-0.3,5.69,1.74,0,3,0,-1,-1,1,1,1,0,0,0,0,0,0,0,2,1,0,1,39,1,0,0,1,0,0,0,0,0,0,9,2,0,1,1,3,3,3,0,8,1,10,8,2,58.69,0,28,0,8.35,2.12,254,1,24,3.18,652.9,6.48,1,38.1,1042.25,1,15,2.71,465,6.14,1,38.9,3.66,1077.4,6.98,1,0,1,1,1,1,0,1,1,23,1,1,1,1,1,1,1,1,0,1,0,0,"5","0","June","2","0","3","3","0","14.3","1","1","1","2","1","3","medium_spend_cust"
"222",32,16,0,5,42,6.7,1.33,0.28,1.49,0.4,0,4,1,13,2,2,0,0,0,0,0,0,0,0,1,3,1,1,1,30,1,0,0,0,0,0,0,0,0,0,1,6,0,1,1,2,2,3,0,14,0,12,15,6,87.57,1,42,0,7.75,2.05,338.2,0,0,2.48,0,6.04,0,0,0,0,0,2.48,0,5.86,0,0,2.68,0,6.01,0,0,0,1,0,1,1,0,1,13,1,1,1,1,1,0,0,0,0,0,0,0,"2","0","September","3","0","1","2","1","19.1","0","4","4","2","3","0","medium_spend_cust"
"225",62,17,0,5,66,7.9,1.57,0.45,3.64,1.29,0,2,1,16,3,2,0,0,0,0,0,0,0,0,0,3,1,0,1,13,1,0,1,0,1,0,0,0,0,0,9,4,0,0,1,4,1,1,1,10,0,7,13,6,156.89,0,34,0,10.3,2.33,322.5,1,22,3.09,708.95,6.56,0,0,0,1,19,2.94,625,6.44,1,24.25,3.19,756.55,6.63,0,1,1,0,1,1,1,1,1,14,1,1,1,0,1,0,1,0,0,0,0,0,"1","1","March","2","0","2","3","1","24.3","1","2","2","4","3","3","medium_spend_cust"
"229",42,17,0,12,114,7,2.74,1.01,5.24,1.66,0,4,0,-1,-1,2,0,0,0,0,0,0,0,0,1,2,1,1,1,28,1,0,0,0,0,0,0,0,0,0,2,5,0,0,1,4,3,4,0,22,0,20,12,7,872.08,0,51,0,12.35,2.51,624.4,0,0,2.35,0,6.37,1,24.85,1270.7,1,16.75,2.82,815,6.7,0,0,2.92,0,6.76,0,0,0,0,0,0,0,0,1,18,1,1,1,0,1,1,1,0,1,0,0,0,"1","0","April","3","0","1","2","0","70.6","0","1","2","1","2","0","high_spend_cust"
